Team,Conference,Division,Wins,Losses,WinPct,PointsFor,PointsAgainst,NetPts,TDs,,PointsFor,WinPct,,PointsAgainst,WinPct
New England Patriots,AFC,ACE,16,0,1,589,274,315,75,,589,1,,274,1
Dallas Cowboys,NFC,NCE,13,3,0.813,455,325,130,54,,455,0.813,,325,0.813
Green Bay Packers,NFC,NCN,13,3,0.813,435,291,144,49,,435,0.813,,291,0.813
Indianapolis Colts,AFC,ACS,13,3,0.813,450,262,188,54,,450,0.813,,262,0.813
Jacksonville Jaguars,AFC,ACS,11,5,0.688,411,304,107,50,,411,0.688,,304,0.688
San Diego Chargers,AFC,ACW,11,5,0.688,412,284,128,49,,412,0.688,,284,0.688
Cleveland Browns,AFC,ACN,10,6,0.625,402,382,20,46,,402,0.625,,382,0.625
New York Giants,NFC,NCE,10,6,0.625,373,351,22,44,,373,0.625,,351,0.625
Pittsburgh Steelers,AFC,ACN,10,6,0.625,393,269,124,46,,393,0.625,,269,0.625
Seattle Seahawks,NFC,NCW,10,6,0.625,393,291,102,44,,393,0.625,,291,0.625
Tennessee Titans,AFC,ACS,10,6,0.625,301,297,4,28,,301,0.625,,297,0.625
Tampa Bay Buccaneers,NFC,NCS,9,7,0.563,334,270,64,36,,334,0.563,,270,0.563
Washington Redskins,NFC,NCE,9,7,0.563,334,310,24,35,,334,0.563,,310,0.563
Arizona Cardinals,NFC,NCW,8,8,0.5,404,399,5,49,,404,0.5,,399,0.5
Houston Texans,AFC,ACS,8,8,0.5,379,384,-5,43,,379,0.5,,384,0.5
Minnesota Vikings,NFC,NCN,8,8,0.5,365,311,54,43,,365,0.5,,311,0.5
Philadelphia Eagles,NFC,NCE,8,8,0.5,336,300,36,38,,336,0.5,,300,0.5
Buffalo Bills,AFC,ACE,7,9,0.438,252,354,-102,25,,252,0.438,,354,0.438
Carolina Panthers,NFC,NCS,7,9,0.438,267,347,-80,28,,267,0.438,,347,0.438
Chicago Bears,NFC,NCN,7,9,0.438,334,348,-14,34,,334,0.438,,348,0.438
Cincinnati Bengals,AFC,ACN,7,9,0.438,380,385,-5,41,,380,0.438,,385,0.438
Denver Broncos,AFC,ACW,7,9,0.438,320,409,-89,34,,320,0.438,,409,0.438
Detroit Lions,NFC,NCN,7,9,0.438,346,444,-98,37,,346,0.438,,444,0.438
New Orleans Saints,NFC,NCS,7,9,0.438,379,388,-9,47,,379,0.438,,388,0.438
Baltimore Ravens,AFC,ACN,5,11,0.313,275,384,-109,28,,275,0.313,,384,0.313
San Francisco 49ers,NFC,NCW,5,11,0.313,219,364,-145,24,,219,0.313,,364,0.313
Atlanta Falcons,NFC,NCS,4,12,0.25,259,414,-155,26,,259,0.25,,414,0.25
Kansas City Chiefs,AFC,ACW,4,12,0.25,226,335,-109,24,,226,0.25,,335,0.25
New York Jets,AFC,ACE,4,12,0.25,268,355,-87,26,,268,0.25,,355,0.25
Oakland Raiders,AFC,ACW,4,12,0.25,283,398,-115,30,,283,0.25,,398,0.25
St. Louis Rams,NFC,NCW,3,13,0.188,263,438,-175,27,,263,0.188,,438,0.188
Miami Dolphins,AFC,ACE,1,15,0.063,267,437,-170,29,,267,0.063,,437,0.063
