Experience,Salary
26,96413
20,85859
4,38851
3,30846
25,43078
13,79588
30,138118
28,122792
12,66903
5,53097
5,46146
1,33339
28,110998
23,129450
21,83950
28,146507
25,159054
30,221086
22,13305
16,30867
9,54868
23,59593
23,189092
13,47257
3,35044
11,60304
17,82525
28,161507
18,39462
29,121539
7,40294
9,67330
27,190576
4,36302
27,60434
6,39094
31,182040
24,73364
8,71574
28,138535
29,154516
17,119593
7,56739
5,57548
7,43870
5,54114
4,49294
18,64595
25,177140
1,35247
8,44405
5,59311
24,173443
19,99914
24,166536
26,120130
26,85867
13,84079
13,94254
3,37544
13,91901
16,117637
2,37786
17,37283
14,64666
11,96177
9,83404
16,48572
13,66464
27,58649
7,77270
22,115857
5,38464
10,68606
1,29609
10,63571
2,32656
5,48781
15,105573
13,39719
22,142045
11,45753
27,116719
18,105891
2,36154
19,79076
18,99978
6,50612
23,163812
30,88833
30,108818
25,162097
7,56459
26,80777
10,50960
11,36004
20,68959
16,124838
24,127534
12,76457
